date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-25 14:36:04,SarahMillican75,Katie_Charity,2,0,23,You’re doing great Katie. Stay strong. Taking it at your own pace is a good idea. We’re not eating til 5. Chance for another meal in between! #joinin,,,#joinin,1077573699522433025,https://twitter.com/SarahMillican75/status/1077573699522433025
2018-12-25 14:34:42,SarahMillican75,,38,4,433,#JoinIn Sleepy Tuvok on my knee.pic.twitter.com/gHJyr0Fs6m,,,#JoinIn,1077573354910044160,https://twitter.com/SarahMillican75/status/1077573354910044160
2018-12-25 14:31:57,SarahMillican75,Chally75,2,1,1,They look amazing! Get them open. #joinin,,,#joinin,1077572662937964550,https://twitter.com/SarahMillican75/status/1077572662937964550
2018-12-25 14:31:25,SarahMillican75,serenzie,1,0,2,Plus you don’t have to hoover or get any food in for them. #joinin,,,#joinin,1077572526417633283,https://twitter.com/SarahMillican75/status/1077572526417633283
2018-12-25 14:30:27,SarahMillican75,RockyMountViews,1,0,1,"Hi, this is for people who feel lonely. There are many who are on their own by choice and that’s great. This is not for them. Thanks.",,,,1077572285547069441,https://twitter.com/SarahMillican75/status/1077572285547069441
2018-12-25 14:28:22,SarahMillican75,tymes25,0,0,1,Thanks Sharon. I’ve always thought you were a smasher. I’m coming to Canada on tour next year. Woop! Sending love xx #joinin,,,#joinin,1077571760453795841,https://twitter.com/SarahMillican75/status/1077571760453795841
2018-12-25 14:24:10,SarahMillican75,janehill64,2,0,5,You’re missing 7 Bridges on Ch5. In case you have the urge to be thrown over a shoulder and sung at.,,,,1077570703526948865,https://twitter.com/SarahMillican75/status/1077570703526948865
2018-12-25 14:23:33,SarahMillican75,Chally75,18,4,101,"Yes, especially since shortly after that photo was taken, we caught our ginger Tom, Brody, licking them. #joininhttps://twitter.com/Chally75/status/1077568069994713090 …",,,#joininhttps,1077570549302419456,https://twitter.com/SarahMillican75/status/1077570549302419456
2018-12-25 14:21:37,SarahMillican75,SupportBones,1,2,14,Thank you! We are all here. #joinin,,,#joinin,1077570060389150721,https://twitter.com/SarahMillican75/status/1077570060389150721
2018-12-25 14:20:52,SarahMillican75,Smo_1982,0,0,1,Beautiful. #christmasgoals #joinin,,,#christmasgoals #joinin,1077569871234379776,https://twitter.com/SarahMillican75/status/1077569871234379776
2018-12-25 14:20:09,SarahMillican75,KarenMMcCormack,2,0,3,"Karen, are you a biscuit expert? For that, you can have that biscuit! #joinin",,,#joinin,1077569692452249600,https://twitter.com/SarahMillican75/status/1077569692452249600
2018-12-25 14:19:11,SarahMillican75,kingsharon9,4,0,21,"Oh Sharon, that’s so sad. I’m so sorry for your loss. Have you got anyone with you? #joinin",,,#joinin,1077569448960241664,https://twitter.com/SarahMillican75/status/1077569448960241664
2018-12-25 14:17:45,SarahMillican75,Mr_Picard,1,0,0,That film I was telling you about has just started on Channel 5. X,,,,1077569086232629249,https://twitter.com/SarahMillican75/status/1077569086232629249
2018-12-25 13:43:26,SarahMillican75,kirstystew,0,0,9,Agreed.,,,,1077560452111044608,https://twitter.com/SarahMillican75/status/1077560452111044608
2018-12-25 13:42:30,SarahMillican75,diabetic_me,4,0,14,I don’t even know what that is. Are you a good actor then? Pretending not to be pissed but actually being all #joininpic.twitter.com/irZfoMqmGx,,,#joininpic,1077560214960959488,https://twitter.com/SarahMillican75/status/1077560214960959488
2018-12-25 13:41:28,SarahMillican75,tm_spencer,1,0,2,THANK YOU VERY MUCH. THANK YOU VERY MUCH. THAT’S THE NICEST THING THAT ANYONE HAS EVER DONE. FOR. ME.,,,,1077559956331790336,https://twitter.com/SarahMillican75/status/1077559956331790336
2018-12-25 13:40:16,SarahMillican75,tm_spencer,0,0,1,,,,,1077559656703291392,https://twitter.com/SarahMillican75/status/1077559656703291392
2018-12-25 13:40:01,SarahMillican75,adsmills,7,1,111,"Oh he can handle more than this, I’m sure. That’s a proper deep sleep. #joininhttps://twitter.com/adsmills/status/1077553323585220608 …",,,#joininhttps,1077559594010976256,https://twitter.com/SarahMillican75/status/1077559594010976256
2018-12-25 13:38:15,SarahMillican75,nrem511,0,0,1,,,,,1077559148072628226,https://twitter.com/SarahMillican75/status/1077559148072628226
2018-12-25 13:35:58,SarahMillican75,Rachellee134,0,0,5,Haha. #joinin,,,#joinin,1077558573423644672,https://twitter.com/SarahMillican75/status/1077558573423644672
2018-12-25 13:35:11,SarahMillican75,linzirob,13,1,98,Swan Lake and Bake off. Good plans. #joininhttps://twitter.com/linzirob/status/1077557632888651776 …,,,#joininhttps,1077558375825764352,https://twitter.com/SarahMillican75/status/1077558375825764352
2018-12-25 13:34:13,SarahMillican75,janehill64,1,0,6,I fucking love that film. #joinin,,,#joinin,1077558132031832064,https://twitter.com/SarahMillican75/status/1077558132031832064
2018-12-25 13:33:46,SarahMillican75,Rachellee134,1,1,11,Have you lost the remote? #joinin,,,#joinin,1077558017288228865,https://twitter.com/SarahMillican75/status/1077558017288228865
2018-12-25 13:33:06,SarahMillican75,ricklovelydrink,2,0,7,What do you want to chat about then? #joinin,,,#joinin,1077557849650315264,https://twitter.com/SarahMillican75/status/1077557849650315264
2018-12-25 13:32:32,SarahMillican75,SurreyPolice,1,0,15,We are very grateful to you and all of the other police working today. #joinin,,,#joinin,1077557708067389440,https://twitter.com/SarahMillican75/status/1077557708067389440
2018-12-25 13:31:57,SarahMillican75,TahreenDewan,0,0,3,Tahreen is wise. She is totally right. #joinin xxxx,,,#joinin,1077557562613075969,https://twitter.com/SarahMillican75/status/1077557562613075969
